ASSEMBLY SCORES,,,,,,,,,,,,,,,,,,
DISTRICT,SENATE,REPRESENTATIVE,AB 173,AB 448,SB 1,SB 183,SB 190,SB 278,SB 596,2014,LIFETIME,,,,,,,
19,0,"Richards, Jon",1,1,1,1,1,1,1,100%,98%,,,,,,,
7,0,"Riemer, Daniel",1,1,1,1,1,1,--,100%,100%,,,,,,,
45,0,"Ringhand, Janis",1,1,1,1,1,1,1,100%,100%,,,,,,,
42,0,"Ripp, Keith",1,1,,,1,,1,57%,56%,,,,,,,
21,0,"Rodriguez, Jessie",NA,1,NA,NA,NA,NA,1,NA,100%,,,,,,,
15,0,"Sanfelippo, Joe",1,1,,,1,,1,57%,57%,,,,,,,
48,0,"Sargent, Melissa",1,1,1,1,1,1,1,100%,100%,,,,,,,
53,0,"Schraa, Michael",1,1,,,1,,1,57%,57%,,,,,,,
28,0,"Severson, Erik",1,--,,,1,,1,50%,29%,,,,,,,
71,0,"Shankland, Katrina",1,1,1,1,1,1,1,100%,100%,,,,,,,
20,0,"Sinicki, Christine",1,1,1,1,--,1,1,100%,99%,,,,,,,
82,0,"Skowronski, Ken",NA,1,NA,NA,NA,NA,1,NA,100%,,,,,,,
75,0,"Smith, Stephen",1,1,1,,1,1,1,86%,86%,,,,,,,
86,0,"Spiros, John",1,1,,,,,1,57%,57%,,,,,,,
5,0,"Steineke, Jim",1,1,,,,,1,57%,32%,,,,,,,
82,0,"Stone, Jeffrey",NA,NA,,NA,NA,NA,1,NA,19%,,,,,,,
58,0,"Strachota, Pat",1,1,,,1,,1,57%,31%,,,,,,,
60,0,"Stroebel, Duey",1,1,,,1,,1,57%,37%,,,,,,,
69,0,"Suder, Scott",NA,NA,,NA,NA,NA,NA,NA,26%,,,,,,,
34,0,"Swearingen, Rob",1,1,,,1,,1,57%,57%,,,,,,,
6,0,"Tauchen, Gary",1,1,,,1,,1,57%,40%,,,,,,,
76,0,"Taylor, Chris",1,1,1,1,1,1,1,100%,100%,,,,,,,
52,0,"Thiesfeldt, Jeremy",1,1,,,1,,1,57%,33%,,,,,,,
25,0,"Tittl, Paul",1,1,,,1,,1,57%,57%,,,,,,,
49,0,"Tranel, Travis",1,1,,,1,,1,57%,33%,,,,,,,
63,0,"Vos, Robin",1,1,,,1,,1,57%,23%,,,,,,,
70,0,"Vruwink, Amy Sue",1,1,1,,1,1,1,86%,81%,,,,,,,
91,0,"Wachs, Dana",1,1,1,1,1,1,1,100%,100%,,,,,,,
62,0,"Weatherston, Tom",1,1,,,1,,--,50%,50%,,,,,,,
4,0,"Weininger, Chad",1,1,,,1,,1,57%,33%,,,,,,,
87,0,"Williams, Mary",1,1,,,1,,1,57%,35%,,,,,,,
85,0,"Wright, Mandy",1,1,1,1,1,1,1,100%,100%,,,,,,,
16,0,"Young, Leon",1,1,1,1,1,1,1,100%,93%,,,,,,,
8,0,"Zamarripa, JoCasta",1,1,1,1,1,1,1,100%,100%,,,,,,,
9,0,"Zepnick, Josh",1,1,1,1,1,1,1,100%,93%,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
